,s,f,Ψf,f_L
150,0.15015015,0.8327239,0.83302265,0.8346666666666634
151,0.15115115,0.8331915,0.8334949,0.8419999999999974
152,0.15215215,0.8336595,0.8339671,0.8269999999999978
153,0.15315315,0.83412784,0.83443946,0.8473333333333302
154,0.15415415,0.8345966,0.83491194,0.8336666666666637
155,0.15515515,0.83506554,0.83538455,0.8423333333333309
156,0.15615615,0.8355348,0.8358573,0.8436666666666642
157,0.15715715,0.8360043,0.8363301,0.8326666666666639
158,0.15815815,0.83647394,0.83680296,0.8239999999999964
159,0.15915915,0.8369439,0.83727586,0.8453333333333312
160,0.16016015,0.8374142,0.8377489,0.8443333333333308
161,0.16116115,0.8378846,0.8382218,0.8386666666666637
162,0.16216215,0.8383553,0.8386949,0.8353333333333306
163,0.16316317,0.8388262,0.8391679,0.8423333333333308
164,0.16416417,0.83929724,0.8396409,0.8469999999999972
165,0.16516517,0.83976835,0.8401138,0.8469999999999974
166,0.16616617,0.84023976,0.84058684,0.8409999999999977
167,0.16716717,0.84071124,0.8410596,0.8463333333333298
168,0.16816817,0.8411829,0.8415325,0.8406666666666638
169,0.16916917,0.8416546,0.84200525,0.8386666666666645
170,0.17017017,0.84212637,0.8424779,0.8399999999999972
171,0.17117117,0.8425984,0.84295046,0.8363333333333305
172,0.17217217,0.8430704,0.84342295,0.846999999999997
173,0.17317317,0.84354246,0.84389526,0.8433333333333313
174,0.17417417,0.84401447,0.84436744,0.8353333333333304
175,0.17517518,0.8444866,0.84483945,0.8343333333333307
176,0.17617618,0.8449586,0.8453114,0.8406666666666641
177,0.17717718,0.84543085,0.8457832,0.8379999999999976
178,0.17817818,0.8459029,0.84625465,0.8443333333333298
179,0.17917918,0.8463751,0.846726,0.8589999999999971
180,0.18018018,0.84684724,0.8471972,0.8519999999999965
181,0.18118118,0.84731925,0.8476681,0.8473333333333313
182,0.18218218,0.84779114,0.84813887,0.8446666666666636
183,0.18318318,0.84826314,0.8486093,0.8519999999999962
184,0.18418418,0.84873503,0.8490795,0.8589999999999977
185,0.18518518,0.84920675,0.8495495,0.8603333333333298
186,0.18618618,0.8496782,0.8500192,0.8463333333333299
187,0.18718718,0.85014963,0.8504886,0.8436666666666636
188,0.1881882,0.85062104,0.8509577,0.8489999999999982
189,0.1891892,0.8510921,0.8514265,0.8469999999999971
190,0.1901902,0.85156316,0.85189503,0.848999999999997
191,0.1911912,0.852034,0.8523632,0.8553333333333301
192,0.1921922,0.8525046,0.85283107,0.8563333333333297
193,0.1931932,0.85297495,0.8532985,0.8469999999999973
194,0.1941942,0.8534453,0.8537657,0.8519999999999966
195,0.1951952,0.8539153,0.85423243,0.8573333333333307
196,0.1961962,0.854385,0.85469884,0.8613333333333313
197,0.1971972,0.85485464,0.85516495,0.8573333333333303
198,0.1981982,0.8553238,0.85563064,0.86133333333333
199,0.1991992,0.8557926,0.85609585,0.8699999999999979
200,0.2002002,0.85626125,0.8565606,0.8613333333333305
201,0.2012012,0.8567297,0.857025,0.8586666666666639
202,0.2022022,0.85719764,0.857489,0.8613333333333306
203,0.2032032,0.8576653,0.85795254,0.8549999999999967
204,0.2042042,0.85813266,0.8584156,0.8583333333333302
205,0.2052052,0.8585997,0.8588782,0.8749999999999969
206,0.2062062,0.85906625,0.85934037,0.8596666666666645
207,0.2072072,0.85953254,0.859802,0.8663333333333295
